3,2,4,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-3,-4,6,11,22,0,0,0,0,0,0,0,0
-5,8,-6,-3,-4,7,0,0,0,0,0,0,0,0
8,-6,-3,-4,7,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,0,0,0,0,0,0,0,0,0,0,0,0
-7,10,9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,12,-9,-41,-4,0,0,0,0,0,0,0,0,0
14,13,0,0,0,0,0,0,0,0,0,0,0,0
14,13,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,-11,17,-4,0,0,0,0,0,0,0,0,0,0
-12,-10,-4,0,0,0,0,0,0,0,0,0,0,0
-13,-3,-11,-3,-14,-3,-15,12,-16,-15,-4,0,0,0
-17,-15,12,-18,-19,15,-20,-16,-15,-4,0,0,0,0
-21,-19,15,-20,-15,12,-16,-15,-4,0,0,0,0,0
-22,-19,15,-20,-23,-8,12,-16,-4,-24,-8,12,-16,-4
-25,-10,-4,0,0,0,0,0,0,0,0,0,0,0
-26,-10,-4,0,0,0,0,0,0,0,0,0,0,0
-27,-10,-4,0,0,0,0,0,0,0,0,0,0,0
-28,-19,17,-20,-4,0,0,0,0,0,0,0,0,0
-29,-19,17,-20,-4,0,0,0,0,0,0,0,0,0
17,16,17,0,0,0,0,0,0,0,0,0,0,0
-30,0,0,0,0,0,0,0,0,0,0,0,0,0
-31,0,0,0,0,0,0,0,0,0,0,0,0,0
-32,0,0,0,0,0,0,0,0,0,0,0,0,0
-33,0,0,0,0,0,0,0,0,0,0,0,0,0
-34,0,0,0,0,0,0,0,0,0,0,0,0,0
-35,0,0,0,0,0,0,0,0,0,0,0,0,0
19,18,0,0,0,0,0,0,0,0,0,0,0,0
-36,0,0,0,0,0,0,0,0,0,0,0,0,0
-37,19,18,0,0,0,0,0,0,0,0,0,0,0
-38,19,18,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,20,0,0,0,0,0,0,0,0,0,0,0,0
-39,21,20,0,0,0,0,0,0,0,0,0,0,0
-40,21,20,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19,17,-20,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0
-41,0,0,0,0,0,0,0,0,0,0,0,0,0
-42,0,0,0,0,0,0,0,0,0,0,0,0,0
-43,0,0,0,0,0,0,0,0,0,0,0,0,0
-44,0,0,0,0,0,0,0,0,0,0,0,0,0
-45,-19,17,-20,0,0,0,0,0,0,0,0,0,0
-46,-19,17,-20,0,0,0,0,0,0,0,0,0,0
-16,-47,0,0,0,0,0,0,0,0,0,0,0,0
